GeneID	PRAD_N_1	PRAD_N_2	PRAD_N_3	PRAD_N_4	PRAD_N_5	PRAD_N_6	PRAD_N_7	PRAD_N_8	PRAD_N_9	PRAD_T_1	PRAD_T_2	PRAD_T_3	PRAD_T_4	PRAD_T_5	PRAD_T_6	PRAD_T_7	PRAD_T_8	PRAD_T_9
ENSG00000171735	2444	1939	1415	2339	1901	2454	1900	2163	2975	1698	1202	1292	739	1424	1111	1704	1567	654
ENSG00000227950	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	0	1	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126	1	2	0	1	3	1	0	1	1	0	0	0	0	0	1	1	0	2
ENSG00000270171	7	5	11	7	6	21	16	15	12	21	17	4	11	24	10	16	21	8
ENSG00000270035	0	6	9	8	10	8	12	11	8	12	46	7	10	17	5	11	11	9
ENSG00000269978	0	3	2	1	2	3	9	2	3	9	34	2	8	13	10	6	3	4
ENSG00000049245	5557	7797	4277	8609	6211	7715	5914	7924	11012	4996	3175	2926	2752	4425	2824	2492	3791	2107
ENSG00000269925	10	8	6	12	8	21	26	14	11	49	15	13	10	5	14	12	13	15
ENSG00000049246	1730	4439	2108	4444	3467	2915	4634	4983	4453	2859	1658	1366	911	3994	3522	1450	1198	1741
ENSG00000236266	7	17	8	20	26	43	32	24	27	18	10	11	1	23	14	14	16	9
ENSG00000049247	13	2	6	224	5	33	4	45	5	5	7	22	3	12	6	4	2	8
ENSG00000049249	65	87	50	65	77	89	70	118	89	161	103	65	132	66	141	82	90	111
ENSG00000270330	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000116288	21820	14254	10004	17506	9965	21854	16197	17858	25864	17595	7300	10171	6973	6651	9078	16317	9209	6287
ENSG00000200344	3	3	0	0	3	1	2	1	1	5	0	2	2	1	7	2	0	3
ENSG00000116285	1871	2131	1489	6001	18751	2727	6003	9998	9178	6881	2618	19822	2478	10874	1361	2068	7234	4100
ENSG00000238290	23	31	25	82	61	39	111	41	78	123	19	39	29	15	7	47	8	47
ENSG00000232848	1	3	1	4	1	2	1	2	2	5	3	1	1	1	2	2	1	3
ENSG00000229305	0	0	0	1	0	0	1	0	0	2	0	0	4	0	1	0	0	0
ENSG00000227634	1	2	1	8	6	4	6	1	6	4	0	1	3	3	0	2	1	0
ENSG00000200975	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	1	0	0	1	1	1	0	1	0	4	0	2	0	1	0	0	0	2
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	330	409	264	813	213	345	511	584	449	471	121	398	196	207	445	284	373	82
ENSG00000252254	0	1	0	1	3	0	1	3	0	0	0	3	2	1	1	0	0	0
ENSG00000142599	14360	20855	18103	17824	12059	15815	19143	31106	16483	34841	10286	13557	21240	14386	21587	21596	9006	13844
ENSG00000232912	9	16	11	16	12	27	29	24	16	20	4	6	6	27	9	24	8	19
ENSG00000221083	0	0	1	0	0	0	1	1	0	0	2	0	0	1	1	0	1	1
ENSG00000270282	0	0	2	1	0	2	4	0	0	0	0	0	1	4	0	1	1	0
ENSG00000280851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619	1	0	0	2	0	1	0	0	0	0	0	0	5	0	0	0	0	2
ENSG00000224315	3	1	3	1	3	2	0	3	1	4	1	3	2	1	3	2	0	2
ENSG00000222511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000226545	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	1	0	0	0	2	1	0	0	0	0	0	1	1	5	0	1	0	0
ENSG00000229716	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
ENSG00000074800	35614	29871	29431	38705	38710	32851	32126	40165	34419	28854	24217	23617	30675	20034	17463	30695	19067	20869
ENSG00000280816	6	1	3	6	18	11	11	6	9	32	14	21	32	10	24	15	12	23
ENSG00000274258	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
ENSG00000236269	24	10	12	18	24	20	24	25	17	36	23	24	20	12	17	44	6	38
ENSG00000230679	13	12	17	38	18	41	23	37	52	45	34	23	15	16	6	115	10	10
ENSG00000201725	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	2	1	0
ENSG00000238249	5	8	4	14	16	20	5	9	17	8	15	4	6	5	3	5	9	5
ENSG00000232208	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232663	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000131686	11	9	16	12	18	25	19	32	24	39	13	15	29	17	25	13	12	19
ENSG00000265141	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSG00000197241	5	9	8	30	14	5	42	26	0	1	29	15	6	4	2	12	0	0
ENSG00000142583	1691	7280	712	3126	4058	6172	10221	9689	1115	136	320	720	87	1001	119	93	351	142
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	822	782	874	923	1708	868	1118	1390	600	924	295	407	596	1061	561	565	332	528
ENSG00000228526	62	151	176	185	325	219	137	263	298	165	40	115	253	218	146	89	102	246
ENSG00000207865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	155	83	109	171	231	142	106	158	249	67	41	59	66	65	49	39	56	68
ENSG00000281937	14	5	6	8	18	11	8	12	10	5	4	2	12	9	5	5	7	10
ENSG00000049239	6560	9165	12017	7981	5697	6982	6424	13341	7838	8812	3636	3214	7004	8006	3452	2961	4344	3740
ENSG00000171621	887	1538	794	3236	1902	1261	2039	2235	1656	1441	900	1550	1291	1454	1180	346	2086	1377
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	9	0	2	1	2	2	2	1	0	0	7	0	0	0	1	0	1	25
ENSG00000171612	1917	1062	741	1546	1126	1112	1251	1306	1387	1833	1768	1260	821	902	1102	1669	843	1147
ENSG00000231181	2	1	10	3	11	3	5	8	9	16	5	3	7	17	15	7	1	12
ENSG00000188807	1033	967	912	890	837	647	767	1200	789	1208	765	768	822	852	846	924	607	848
ENSG00000171608	478	960	723	776	476	556	374	1599	775	510	418	158	421	904	412	224	444	430
ENSG00000179840	0	2	1	3	0	4	0	2	4	0	0	2	0	1	2	1	0	4
ENSG00000233268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231789	177	123	90	171	91	212	123	192	234	41	30	44	36	112	12	25	45	33
ENSG00000171603	35930	34473	31232	32952	22048	24224	27647	48738	23631	30393	11979	22750	14135	20792	20209	22826	12827	10975
ENSG00000271264	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000280113	0	0	0	1	2	4	0	0	1	0	0	0	0	2	0	3	1	0
ENSG00000178585	5844	5527	6202	5636	3845	7565	5857	8779	8305	4421	2087	2762	2516	2663	2712	3119	1841	1712
ENSG00000223989	0	0	0	1	0	1	2	0	2	1	0	0	0	0	0	0	0	0
ENSG00000162441	1419	1925	1147	2110	1256	1676	1476	2029	2341	2264	778	896	860	653	1028	787	533	643
ENSG00000228150	9	5	2	12	8	20	11	13	14	18	9	4	8	8	11	16	11	6
ENSG00000173614	719	869	699	1017	828	936	918	1054	1315	1246	397	460	331	446	534	558	452	507
ENSG00000202415	0	0	2	0	2	3	1	1	2	1	2	0	1	1	0	6	0	1
ENSG00000265521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241326	0	0	5	0	0	0	0	0	0	0	0	0	12	1	0	0	0	3
ENSG00000162444	1174	619	217	935	320	1643	702	796	1374	306	431	309	280	193	73	92	345	337
ENSG00000130939	4289	4890	4035	5242	3145	4219	4050	6340	3787	5902	1571	2671	2231	3220	3220	2696	1959	2181
ENSG00000224340	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	0	0	1	3	0	3	1	3	2	0	1	0	0	0	1	0	2
ENSG00000201746	0	1	1	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0
ENSG00000054523	3829	5821	4353	6410	3606	5477	4823	7229	3849	10832	2201	3360	3767	2597	3484	2678	2142	1705
ENSG00000264881	0	1	1	0	0	1	2	3	3	8	2	1	6	6	3	0	2	4
ENSG00000199562	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264501	19	7	3	15	15	25	11	6	18	15	10	5	3	8	1	0	6	0
ENSG00000142657	6503	5114	4501	5852	4677	4465	5908	7351	5527	6099	2211	3520	2141	2602	3633	6323	2307	2723
ENSG00000271989	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	1
ENSG00000251503	42	19	19	11	28	77	35	68	68	32	30	17	14	21	22	38	26	27
ENSG00000175279	897	815	667	979	547	1229	689	1009	1201	870	414	499	393	378	383	581	446	419
ENSG00000241563	12	22	17	26	9	11	32	23	16	29	19	10	10	21	16	32	20	20
ENSG00000160049	3119	3714	3269	4245	3544	3684	3222	4031	4817	4592	1653	1908	1753	2048	2231	2272	1562	2332
ENSG00000203469	0	0	0	0	0	0	0	0	3	2	0	0	3	0	4	1	0	0
ENSG00000142655	1793	2199	1542	2575	1895	1749	2214	3021	4285	1810	997	960	1234	1375	745	1286	1584	720
ENSG00000243267	0	2	2	1	2	1	4	2	2	5	0	1	2	1	1	0	0	3
ENSG00000130940	3313	4498	6235	4524	6427	3818	4006	10970	4236	7084	1615	3337	6652	5730	9020	3935	1820	3601
ENSG00000272078	35	69	167	68	203	143	140	272	110	362	127	125	439	517	1570	100	125	214
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	12	19	8	9	4	7	11	9	13	21	21	3	31	11	9	11	23	12
ENSG00000215785	2	4	0	1	0	4	1	2	1	6	1	1	5	2	3	5	0	4
ENSG00000264181	3	4	1	1	11	3	3	3	3	11	0	6	2	0	10	0	0	12
ENSG00000281322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120948	8669	8683	6598	10935	10018	10848	8637	10930	11204	13098	6218	7785	6592	6489	6922	6607	5852	4738
ENSG00000277726	6	0	14	11	5	18	7	7	17	10	1	0	4	38	8	19	0	15
ENSG00000009724	26	29	62	39	59	72	43	115	73	79	35	34	62	90	48	56	18	41
ENSG00000271895	92	65	141	116	174	372	222	227	229	155	108	131	186	424	170	250	167	151
ENSG00000116649	3211	2395	1934	2012	1469	2271	1764	2447	2516	3333	3576	3221	2663	1351	2719	4664	1953	3122
ENSG00000171824	2478	3163	2724	4390	3332	3984	3418	4804	4646	4789	1780	2051	3738	3108	2314	2002	2021	1844
ENSG00000226849	2	4	15	15	15	24	26	38	11	53	8	15	39	44	23	22	29	40
ENSG00000281350	2	2	3	0	0	3	5	4	3	10	2	3	3	8	6	2	1	9
ENSG00000230337	13	13	5	11	5	13	11	12	22	46	25	8	35	7	14	34	16	14
ENSG00000198793	7473	6966	4478	6436	4036	5685	5020	8333	4264	15052	3340	5932	2839	2430	3438	3847	1623	1827
ENSG00000225602	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000253086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
